show_id,type,title,director,cast,country,date_added,release_year,rating,duration,language,popularity,vote_count
33238,TV Show,Running Man,안재철,"Yoo Jae-suk, Jee Seok-jin, Kim Jong-kook, Haha, Song Ji-hyo",South Korea,2010-07-11,2010,8.241,1 Seasons,ko,1929.898,187
32415,TV Show,Conan,,"Conan O'Brien, Andy Richter",United States of America,2010-11-08,2010,7.035,1 Seasons,en,1670.58,229
37757,TV Show,MasterChef Greece,,,Greece,2010-10-03,2010,5.6,1 Seasons,el,1317.092,6
75685,TV Show,Prostřeno!,,"Václav Vydra, Jana Boušková",Czech Republic,2010-03-01,2010,6.5,1 Seasons,cs,1095.776,6
33847,TV Show,The Talk,,"Amanda Kloots, Jerry O'Connell, Akbar Gbaja-Biamila, Natalie Morales, Sheryl Underwood","United States of America, Ireland",2010-10-18,2010,3.4,1 Seasons,en,712.07,12
250253,TV Show,Euphrosyne,"Maxim Mokrushev, Oleg Maslennikov","Anastasiya Makarova, Valeriy Zolotukhin, Irina Kartashyova, Aleksandr Klyukvin, Kseniya Entelis",,2010-02-15,2010,0.0,1 Seasons,ru,629.982,0
32798,TV Show,Hawaii Five-0,,"Alex O'Loughlin, Scott Caan, Ian Anthony Dale, Meaghan Rath, Beulah Koale","United States of America, Singapore",2010-09-20,2010,7.8,1 Seasons,en,616.862,1750
1402,TV Show,The Walking Dead,,"Lauren Cohan, Norman Reedus, Jeffrey Dean Morgan, Melissa McBride, Christian Serratos",United States of America,2010-10-31,2010,8.103,1 Seasons,en,485.66,16790
33384,TV Show,Zone,,"Michael Underwood, Angellica Bell",United States of America,2010-05-20,2010,0.0,1 Seasons,en,489.739,0
31132,TV Show,Regular Show,,"J.G. Quintel, William Salyers, Mark Hamill, Sam Marin, Minty Lewis",United States of America,2010-09-06,2010,8.621,1 Seasons,en,426.107,2045
64488,TV Show,Atomes crochus,,Alexandre Barrette,Canada,2010-03-01,2010,0.0,1 Seasons,fr,463.962,0
58581,TV Show,Antiques Road Trip,Ian Hendry,Tim Wonnacott,United Kingdom,2010-03-08,2010,5.0,1 Seasons,en,581.634,8
73870,TV Show,Génial!,,"Martin Carli, Stéphane Bellavance",Canada,2010-09-09,2010,2.9,1 Seasons,fr,413.464,12
51038,TV Show,Natholdet,,Hadi Ka-Koush,Denmark,2010-09-27,2010,6.0,1 Seasons,da,401.061,4
33581,TV Show,Pyaar Kii Ye Ek Kahaani,,"Vivian Dsena, Sukirti Kandpal, Priya Wal, Kishwer Merchant, Naved Aslam","India, United States of America",2010-10-18,2010,10.0,1 Seasons,hi,406.769,1
31917,TV Show,Pretty Little Liars,,"Lucy Hale, Troian Bellisario, Ashley Benson, Shay Mitchell, Sasha Pieterse",United States of America,2010-06-08,2010,8.0,1 Seasons,en,389.58,2637
32692,TV Show,Blue Bloods,,"Tom Selleck, Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou","United States of America, United Kingdom",2010-09-24,2010,7.8,1 Seasons,en,361.43,906
32390,TV Show,The Real Housewives of Beverly Hills,,"Kyle Richards, Erika Jayne, Dorit Kemsley, Garcelle Beauvais, Sutton Stracke",United States of America,2010-10-14,2010,6.3,1 Seasons,en,514.676,95
32651,TV Show,Interns,,"Ivan Okhlobystin, Ilya Glinnikov, Aleksandr Ilyin Jr, Vadim Demchog, Svetlana Permyakova",Russia,2010-03-29,2010,7.0,1 Seasons,ru,336.57,103
46296,TV Show,Spartacus,,"Liam McIntyre, Manu Bennett, Dustin Clare, Cynthia Addai-Robinson, Jaime Murray",United States of America,2010-01-22,2010,8.014,1 Seasons,en,324.023,2585
124864,TV Show,A Masterpiece in 100 Minutes,,"Michiko Abe, Hikaru Ijūin",Japan,2010-09-27,2010,0.0,1 Seasons,ja,338.901,0
31991,TV Show,WWE NXT,,,United States of America,2010-02-23,2010,6.8,1 Seasons,en,442.742,114
214252,TV Show,All My Love For You,Hwang Kyo Jin,"Kim Kap-soo, Park Mi-sun, Kim Yeong-ok, Yoon Seung-ah, Jo Kwon",South Korea,2010-11-08,2010,0.0,1 Seasons,ko,314.291,0
66774,TV Show,Epic Rap Battles of History,,,United States of America,2010-09-26,2010,7.319,1 Seasons,en,338.596,36
35331,TV Show,Good Game: Spawn Point,,"Angharad Yeo, Gemma Driscoll",,2010-02-20,2010,5.0,1 Seasons,en,435.509,1
61308,TV Show,Les Enfants de la télé,,"André Robitaille, Mélanie Maynard",Canada,2010-09-15,2010,6.5,1 Seasons,fr,328.765,1
15260,TV Show,Adventure Time,,"Jeremy Shada, John DiMaggio, Tom Kenny, Hynden Walch, Olivia Olson","United States of America, United Kingdom",2010-04-05,2010,8.5,1 Seasons,en,302.054,2826
46182,TV Show,Ti Ti Ti,"Ary Coslov, Maria de Médicis, Marcelo Zambelli, Jorge Fernando","Murilo Benício, Alexandre Borges, Cláudia Raia, Isis Valverde, Caio Castro",Brazil,2010-07-19,2010,7.4,1 Seasons,pt,278.459,17
209068,TV Show,Ella,,"Darya Gantura, Gert Winckelmans, Ini Massez, Rik Verheye, Amaryllis Uitterlinden",Belgium,2010-09-24,2010,1.0,1 Seasons,nl,281.763,1
155256,TV Show,Happy Toon,,"Hongyun Liu, Deng Yuting, Yanzi Yan, Qing Zu, Tuan Li",China,2010-07-02,2010,7.8,1 Seasons,zh,264.317,5
42042,TV Show,Kaeloo,,"Rémi Chapotot, Dorothée Pousséo, Emmanuel Garijo, Féodor Atkine, Philippe Spiteri",France,2010-06-07,2010,8.5,1 Seasons,fr,259.428,4
83896,TV Show,Tempos Modernos,"José Luiz Villamarim, Luciana Oliveira, Paulo Silvestrini, Carlo Milani","Fernanda Vasconcellos, Thiago Rodrigues, Priscila Fantin, Danton Mello, Antônio Fagundes",Brazil,2010-01-11,2010,6.5,1 Seasons,pt,254.477,3
84548,TV Show,Peter Hahne,,Peter Hahne,Germany,2010-06-27,2010,0.0,1 Seasons,de,252.021,0
